#STIG ID,Legacy Group ID,Legacy Rule ID,Old Rule ID,New Group ID,New Rule ID
APSC-DV-000010,V-69239,SV-83861,SV-83861r1_rule,V-222387,SV-222387r508029_rule
APSC-DV-000060,V-69241,SV-83863,SV-83863r1_rule,V-222388,SV-222388r508029_rule
APSC-DV-000070,V-69243,SV-83865,SV-83865r1_rule,V-222389,SV-222389r508029_rule
APSC-DV-000080,V-69245,SV-83867,SV-83867r1_rule,V-222390,SV-222390r508029_rule
APSC-DV-000090,V-69247,SV-83869,SV-83869r1_rule,V-222391,SV-222391r508029_rule
APSC-DV-000100,V-69249,SV-83871,SV-83871r1_rule,V-222392,SV-222392r508029_rule
APSC-DV-000110,V-69251,SV-83873,SV-83873r1_rule,V-222393,SV-222393r508029_rule
APSC-DV-000120,V-69253,SV-83875,SV-83875r1_rule,V-222394,SV-222394r508029_rule
APSC-DV-000130,V-69255,SV-83877,SV-83877r1_rule,V-222395,SV-222395r508029_rule
APSC-DV-000160,V-69257,SV-83879,SV-83879r1_rule,V-222396,SV-222396r508029_rule
APSC-DV-000170,V-69259,SV-83881,SV-83881r1_rule,V-222397,SV-222397r508029_rule
APSC-DV-000180,V-69261,SV-83883,SV-83883r1_rule,V-222398,SV-222398r508029_rule
APSC-DV-000190,V-69279,SV-83901,SV-83901r1_rule,V-222399,SV-222399r508029_rule
APSC-DV-000200,V-69281,SV-83903,SV-83903r1_rule,V-222400,SV-222400r508029_rule
APSC-DV-000210,V-69283,SV-83905,SV-83905r2_rule,V-222401,SV-222401r508029_rule
APSC-DV-000220,V-69285,SV-83907,SV-83907r1_rule,V-222402,SV-222402r508029_rule
APSC-DV-000230,V-69287,SV-83909,SV-83909r1_rule,V-222403,SV-222403r508029_rule
APSC-DV-000240,V-69289,SV-83911,SV-83911r1_rule,V-222404,SV-222404r508029_rule
APSC-DV-000250,V-69291,SV-83913,SV-83913r1_rule,V-222405,SV-222405r508029_rule
APSC-DV-000260,V-69293,SV-83915,SV-83915r1_rule,V-222406,SV-222406r508029_rule
APSC-DV-000280,V-69295,SV-83917,SV-83917r1_rule,V-222407,SV-222407r508029_rule
APSC-DV-000290,V-69297,SV-83919,SV-83919r1_rule,V-222408,SV-222408r508029_rule
APSC-DV-000300,V-69299,SV-83921,SV-83921r1_rule,V-222409,SV-222409r508029_rule
APSC-DV-000310,V-70173,SV-84795,SV-84795r1_rule,V-222410,SV-222410r508029_rule
APSC-DV-000320,V-69301,SV-83923,SV-83923r1_rule,V-222411,SV-222411r508029_rule
APSC-DV-000330,V-69303,SV-83925,SV-83925r1_rule,V-222412,SV-222412r508029_rule
APSC-DV-000340,V-69305,SV-83927,SV-83927r1_rule,V-222413,SV-222413r508029_rule
APSC-DV-000350,V-69307,SV-83929,SV-83929r1_rule,V-222414,SV-222414r508029_rule
APSC-DV-000360,V-69309,SV-83931,SV-83931r1_rule,V-222415,SV-222415r508029_rule
APSC-DV-000370,V-69311,SV-83933,SV-83933r1_rule,V-222416,SV-222416r508029_rule
APSC-DV-000380,V-69313,SV-83935,SV-83935r1_rule,V-222417,SV-222417r508029_rule
APSC-DV-000390,V-69315,SV-83937,SV-83937r1_rule,V-222418,SV-222418r508029_rule
APSC-DV-000400,V-69317,SV-83939,SV-83939r1_rule,V-222419,SV-222419r508029_rule
APSC-DV-000410,V-69319,SV-83941,SV-83941r1_rule,V-222420,SV-222420r508029_rule
APSC-DV-000420,V-69321,SV-83943,SV-83943r1_rule,V-222421,SV-222421r508029_rule
APSC-DV-000430,V-69323,SV-83945,SV-83945r1_rule,V-222422,SV-222422r508029_rule
APSC-DV-000440,V-69325,SV-83947,SV-83947r1_rule,V-222423,SV-222423r508029_rule
APSC-DV-000450,V-69327,SV-83949,SV-83949r1_rule,V-222424,SV-222424r508029_rule
APSC-DV-000460,V-69329,SV-83951,SV-83951r1_rule,V-222425,SV-222425r508029_rule
APSC-DV-000470,V-69331,SV-83953,SV-83953r1_rule,V-222426,SV-222426r508029_rule
APSC-DV-000480,V-69333,SV-83955,SV-83955r1_rule,V-222427,SV-222427r508029_rule
APSC-DV-000490,V-69335,SV-83957,SV-83957r1_rule,V-222428,SV-222428r508029_rule
APSC-DV-000500,V-69337,SV-83959,SV-83959r1_rule,V-222429,SV-222429r508029_rule
APSC-DV-000510,V-69339,SV-83961,SV-83961r1_rule,V-222430,SV-222430r508029_rule
APSC-DV-000520,V-69341,SV-83963,SV-83963r1_rule,V-222431,SV-222431r508029_rule
APSC-DV-000530,V-69343,SV-83965,SV-83965r1_rule,V-222432,SV-222432r508029_rule
APSC-DV-000540,V-69347,SV-83969,SV-83969r1_rule,V-222433,SV-222433r508029_rule
APSC-DV-000550,V-69349,SV-83971,SV-83971r2_rule,V-222434,SV-222434r508029_rule
APSC-DV-000560,V-69351,SV-83973,SV-83973r2_rule,V-222435,SV-222435r508029_rule
APSC-DV-000570,V-69353,SV-83975,SV-83975r1_rule,V-222436,SV-222436r508029_rule
APSC-DV-000580,V-69355,SV-83977,SV-83977r1_rule,V-222437,SV-222437r508029_rule
APSC-DV-000590,V-69357,SV-83979,SV-83979r1_rule,V-222438,SV-222438r508029_rule
APSC-DV-000600,V-69359,SV-83981,SV-83981r1_rule,V-222439,SV-222439r561233_rule
APSC-DV-000620,V-69363,SV-83985,SV-83985r1_rule,V-222441,SV-222441r508029_rule
APSC-DV-000630,V-69365,SV-83987,SV-83987r1_rule,V-222442,SV-222442r508029_rule
APSC-DV-000640,V-69367,SV-83989,SV-83989r1_rule,V-222443,SV-222443r508029_rule
APSC-DV-000650,V-69369,SV-83991,SV-83991r1_rule,V-222444,SV-222444r508029_rule
APSC-DV-000660,V-69371,SV-83993,SV-83993r2_rule,V-222445,SV-222445r508029_rule
APSC-DV-000670,V-69373,SV-83995,SV-83995r1_rule,V-222446,SV-222446r508029_rule
APSC-DV-000680,V-69375,SV-83997,SV-83997r1_rule,V-222447,SV-222447r508029_rule
APSC-DV-000690,V-69377,SV-83999,SV-83999r1_rule,V-222448,SV-222448r508029_rule
APSC-DV-000700,V-69379,SV-84001,SV-84001r1_rule,V-222449,SV-222449r508029_rule
APSC-DV-000710,V-69381,SV-84003,SV-84003r2_rule,V-222450,SV-222450r508029_rule
APSC-DV-000720,V-69383,SV-84005,SV-84005r1_rule,V-222451,SV-222451r508029_rule
APSC-DV-000730,V-69385,SV-84007,SV-84007r1_rule,V-222452,SV-222452r508029_rule
APSC-DV-000740,V-69387,SV-84009,SV-84009r1_rule,V-222453,SV-222453r508029_rule
APSC-DV-000750,V-69389,SV-84011,SV-84011r1_rule,V-222454,SV-222454r508029_rule
APSC-DV-000760,V-69391,SV-84013,SV-84013r1_rule,V-222455,SV-222455r508029_rule
APSC-DV-000770,V-69393,SV-84015,SV-84015r1_rule,V-222456,SV-222456r508029_rule
APSC-DV-000780,V-69395,SV-84017,SV-84017r1_rule,V-222457,SV-222457r508029_rule
APSC-DV-000790,V-69397,SV-84019,SV-84019r1_rule,V-222458,SV-222458r508029_rule
APSC-DV-000800,V-69399,SV-84021,SV-84021r1_rule,V-222459,SV-222459r508029_rule
APSC-DV-000810,V-69401,SV-84023,SV-84023r1_rule,V-222460,SV-222460r508029_rule
APSC-DV-000820,V-69403,SV-84025,SV-84025r1_rule,V-222461,SV-222461r508029_rule
APSC-DV-000830,V-69405,SV-84027,SV-84027r1_rule,V-222462,SV-222462r508029_rule
APSC-DV-000840,V-69407,SV-84029,SV-84029r1_rule,V-222463,SV-222463r508029_rule
APSC-DV-000850,V-69409,SV-84031,SV-84031r1_rule,V-222464,SV-222464r508029_rule
APSC-DV-000860,V-69411,SV-84033,SV-84033r1_rule,V-222465,SV-222465r508029_rule
APSC-DV-000870,V-69413,SV-84035,SV-84035r1_rule,V-222466,SV-222466r508029_rule
APSC-DV-000880,V-69415,SV-84037,SV-84037r1_rule,V-222467,SV-222467r508029_rule
APSC-DV-000910,V-69419,SV-84041,SV-84041r1_rule,V-222468,SV-222468r508029_rule
APSC-DV-000940,V-69421,SV-84043,SV-84043r1_rule,V-222469,SV-222469r508029_rule
APSC-DV-000950,V-69423,SV-84045,SV-84045r1_rule,V-222470,SV-222470r508029_rule
APSC-DV-000960,V-69425,SV-84047,SV-84047r1_rule,V-222471,SV-222471r508029_rule
APSC-DV-000970,V-69427,SV-84049,SV-84049r1_rule,V-222472,SV-222472r508029_rule
